config,operator,source,NS,sampler,seed,pre_2opt,post_2opt,fes,iterations,two_opt_evals,two_opt_moves,wall_seconds,N,ST,max_fes,instance,rounded,git_sha
swap(random tree)|NS=1|-,swap,random,1,-,4,8506.0,7941.0,104000,1999,7697,6,2.248,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,5,8267.0,8096.0,104000,1999,4353,3,2.115,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,6,8517.0,7941.0,104000,1999,8152,7,2.199,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,7,8519.0,7992.0,104000,1999,12047,10,2.205,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,8,8507.0,7941.0,104000,1999,8537,7,2.161,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,9,8518.0,7992.0,104000,1999,11207,9,2.212,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,10,8462.0,7967.0,104000,1999,6149,5,2.185,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,11,8506.0,7941.0,104000,1999,7697,6,2.189,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,12,8518.0,7992.0,104000,1999,11207,9,2.206,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,13,8506.0,7941.0,104000,1999,7697,6,2.145,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,14,8272.0,8096.0,104000,1999,4682,4,2.161,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,15,8511.0,7941.0,104000,1999,8069,7,2.188,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,16,8462.0,7967.0,104000,1999,6149,5,2.422,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,17,8445.0,7988.0,104000,1999,7065,6,2.361,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,18,8506.0,7941.0,104000,1999,7697,6,2.389,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,19,8278.0,8096.0,104000,1999,4808,4,2.451,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,20,8615.0,7941.0,104000,1999,9646,8,2.477,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,21,8507.0,7941.0,104000,1999,8537,7,2.484,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,22,8506.0,7941.0,104000,1999,7697,6,2.43,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,23,8155.0,8045.0,104000,1999,3721,4,2.42,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,24,8462.0,7967.0,104000,1999,6149,5,2.13,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,25,8506.0,7941.0,104000,1999,7697,6,2.043,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,26,8513.0,7948.0,104000,1999,7697,6,2.076,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,27,8506.0,7941.0,104000,1999,7697,6,2.075,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,28,8300.0,7967.0,104000,1999,9863,8,2.032,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,29,8244.0,8113.0,104000,1999,3423,3,1.992,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,0,8523.0,7992.0,104260,334,8777,7,1.636,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,1,8614.0,7941.0,104260,334,8806,7,1.685,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,2,8614.0,7941.0,104260,334,8806,7,1.66,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=6|-,swap,best,6,-,3,8518.0,7992.0,104260,334,11207,9,1.633,52,0.5,104000,berlin52,True,06f6700
