instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta21,20,20,400,DTSA,6,1937,400120,400000,1667,10.009,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:59,1.0,400080,,,,,,DTSA-core,N=40,C3,1937,0,0,True
ta21,20,20,400,DTSA,7,1940,400120,400000,1667,10.179,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:00,1.0,400080,,,,,,DTSA-core,N=40,C3,1940,0,0,True
ta21,20,20,400,DTSA,8,1868,400120,400000,1667,10.146,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:09,1.0,400080,,,,,,DTSA-core,N=40,C3,1868,0,0,True
ta21,20,20,400,DTSA,9,1869,400120,400000,1667,10.033,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:09,1.0,400080,,,,,,DTSA-core,N=40,C3,1869,0,0,True
ta21,20,20,400,DTSA,10,1947,400120,400000,1667,9.951,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:09,1.0,400080,,,,,,DTSA-core,N=40,C3,1947,0,0,True
ta21,20,20,400,DTSA,11,1981,400120,400000,1667,10.122,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:10,1.0,400080,,,,,,DTSA-core,N=40,C3,1981,0,0,True
ta21,20,20,400,DTSA,12,2036,400120,400000,1667,10.086,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:10,1.0,400080,,,,,,DTSA-core,N=40,C3,2036,0,0,True
ta21,20,20,400,DTSA,13,1876,400120,400000,1667,10.251,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:10,1.0,400080,,,,,,DTSA-core,N=40,C3,1876,0,0,True
ta21,20,20,400,DTSA,14,1942,400120,400000,1667,10.184,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:10,1.0,400080,,,,,,DTSA-core,N=40,C3,1942,0,0,True
ta21,20,20,400,DTSA,15,1993,400120,400000,1667,10.4,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:10,1.0,400080,,,,,,DTSA-core,N=40,C3,1993,0,0,True
